Joseph R. Smallwood,Confederation of Newfoundland
Chesley Crosbie,Confederation of Newfoundland
F. Gordon Bradley,Confederation of Newfoundland
Peter Cashin,Confederation of Newfoundland
P. Wellington Crummey ,Confederation of Newfoundland
Wilfred Dawe,Confederation of Newfoundland
David Jackman,Confederation of Newfoundland
Samuel Vincent,Confederation of Newfoundland
Kenneth Brown,Confederation of Newfoundland
Percy Figary,Confederation of Newfoundland
Edward Reddy,Confederation of Newfoundland
Daniel HIllier,Confederation of Newfoundland
Albert Penney,Confederation of Newfoundland
Albert Goodridge,Confederation of Newfoundland
Alfred Watton Jr.,Confederation of Newfoundland
William Banfield,Confederation of Newfoundland
Malcolm Hollett,Confederation of Newfoundland
Malcolm McDonald,Confederation of Newfoundland
Roland Starkes,Confederation of Newfoundland
Colin Jones,Confederation of Newfoundland
Thomas Kennedy,Confederation of Newfoundland
J.A. Hannon,Confederation of Newfoundland
John Spencer,Confederation of Newfoundland
Pierce Fudge,Confederation of Newfoundland
Lester Burry,Confederation of Newfoundland
Archibald Northcott,Confederation of Newfoundland
Leonard Miller,Confederation of Newfoundland
Dennis Ryan,Confederation of Newfoundland
Michael McCarthy,Confederation of Newfoundland
Joseph Fowler,Confederation of Newfoundland
Edgar Roberts,Confederation of Newfoundland
Willian Keough,Confederation of Newfoundland
Gordon Higgins,Confederation of Newfoundland
Edgar Hickman,Confederation of Newfoundland
Robert Job,Confederation of Newfoundland
Michael Harrington,Confederation of Newfoundland
Frank Fogwill,Confederation of Newfoundland
Albert Butt,Confederation of Newfoundland
John MacCormack,Confederation of Newfoundland
Edmund Crawford,Confederation of Newfoundland
Reuben Vardy,Confederation of Newfoundland
Charles Bailey,Confederation of Newfoundland
Thomas Ashbourne,Confederation of Newfoundland
Isaac Newell ,Confederation of Newfoundland
Patricio Aylwin,La Concertacion: Chile's Transition to Democracy
Clodomiro Almeyda,La Concertacion: Chile's Transition to Democracy
Juan Guetierrez Soto,La Concertacion: Chile's Transition to Democracy
Manuel Mandujano,La Concertacion: Chile's Transition to Democracy
Ricardo Nuñez,La Concertacion: Chile's Transition to Democracy
Ricardo Lagos,La Concertacion: Chile's Transition to Democracy
Ramon Silva,La Concertacion: Chile's Transition to Democracy
Enrique Silva Cimma,La Concertacion: Chile's Transition to Democracy
Luis Fernando Luengo,La Concertacion: Chile's Transition to Democracy
Amador Navarro,La Concertacion: Chile's Transition to Democracy
Wolfgang Prieur,La Concertacion: Chile's Transition to Democracy
Victor Barrueto,La Concertacion: Chile's Transition to Democracy
Fernando Avila Illanes,La Concertacion: Chile's Transition to Democracy
Luis Maira,La Concertacion: Chile's Transition to Democracy
José Tomás Sáenz,La Concertacion: Chile's Transition to Democracy
Hugo Zepeda Barrios,La Concertacion: Chile's Transition to Democracy
Andrés Koryzma,La Concertacion: Chile's Transition to Democracy
Ricardo Navarrete,La Concertacion: Chile's Transition to Democracy
Edgardo Boeninger Kausel,La Concertacion: Chile's Transition to Democracy
Genaro Arriagada,La Concertacion: Chile's Transition to Democracy
José Ruíz de Giorgio,La Concertacion: Chile's Transition to Democracy
Ricardo Hormazábal,La Concertacion: Chile's Transition to Democracy
Rodolfo Seguel,La Concertacion: Chile's Transition to Democracy
Nicanor Araya,La Concertacion: Chile's Transition to Democracy
Gabriel Valdés,La Concertacion: Chile's Transition to Democracy
Eduardo Frei,La Concertacion: Chile's Transition to Democracy
Alejandro Hales,La Concertacion: Chile's Transition to Democracy
Maximo Pacheco,La Concertacion: Chile's Transition to Democracy
Laura Soto,La Concertacion: Chile's Transition to Democracy
Andrés Aylwin,La Concertacion: Chile's Transition to Democracy
Jorge Molina,La Concertacion: Chile's Transition to Democracy
Jaime Naranjo,La Concertacion: Chile's Transition to Democracy
Isidoro Tohá,La Concertacion: Chile's Transition to Democracy
Gonzalez Marquex Carlos,La Concertacion: Chile's Transition to Democracy
Hector Ricardo Nuñez,La Concertacion: Chile's Transition to Democracy
Hernan Natalio Vodanovic,La Concertacion: Chile's Transition to Democracy
Luis Minchel,La Concertacion: Chile's Transition to Democracy
Humberto Palza,La Concertacion: Chile's Transition to Democracy
Jaime Rodrigo Gazmuri,La Concertacion: Chile's Transition to Democracy
Luis Enrique LeBlanc,La Concertacion: Chile's Transition to Democracy
Sergio Mariano Ruiz-Esquide,La Concertacion: Chile's Transition to Democracy
Saïd Mekbel ,International Press Forum
Keith Kyle,International Press Forum
Russell Baker,International Press Forum
Tom Gould ,International Press Forum
Walter Cronkite,International Press Forum
David Halton,International Press Forum
Mustafa Amin,International Press Forum
Walter Lippmann,International Press Forum
Peter Scholl-Latour,International Press Forum
 Helen Thomas,International Press Forum
Youcef Dris,International Press Forum
Frances Fitzgerald,International Press Forum
Fred Friendly,International Press Forum
Hannah Arendt ,International Press Forum
Ed Bradley,International Press Forum
Ben Bradlee ,International Press Forum
Joe Shlesinger,International Press Forum
Peter Stursberg,International Press Forum
Martha Gellhorn,International Press Forum
Peter Arnett,International Press Forum
Kate Adie,International Press Forum
Farag Foda ,International Press Forum
Martin Bell,International Press Forum
Marguerite Higgins Hall ,International Press Forum
Jane Jacobs,International Press Forum
Richard West ,International Press Forum
John Hughes ,International Press Forum
Harold Hendrix ,International Press Forum
Chet Huntley,International Press Forum
David Brinkley,International Press Forum
Joan Didion,International Press Forum
Nora Ephron,International Press Forum
Michael David Herr,International Press Forum
Clay Felker,International Press Forum
Barbara Walters,International Press Forum
Mr. Abdullah-al Mahmood,Constituent Assembly of Pakistan (1947)
Maulana Muhammad Abdullah-el Baqui,Constituent Assembly of Pakistan (1947)
The Honourable Mr. Abdul Hamid ,Constituent Assembly of Pakistan (1947)
Mr. Abdul Kasem Khan,Constituent Assembly of Pakistan (1947)
Maulana Mohammad Akrum Khan ,Constituent Assembly of Pakistan (1947)
Mr. A.M. Hamid ,Constituent Assembly of Pakistan (1947)
Mr. Azizuddin Ahmad,Constituent Assembly of Pakistan (1947)
"The Honourable Mr. Muhammad Habibullah Bahar, ",Constituent Assembly of Pakistan (1947)
Mr. Prem hari Barma,Constituent Assembly of Pakistan (1947)
Prof. Raj Kumar Chakraverty ,Constituent Assembly of Pakistan (1947)
Mr. Sris Chandra Chattopadhyaya,Constituent Assembly of Pakistan (1947)
Mr. Abdul Matin Chaudhary,Constituent Assembly of Pakistan (1947)
Mr. Murtaza Raza Chaudhry,Constituent Assembly of Pakistan (1947)
The Honourable Mr. Hamidul Huq Chaudhry,Constituent Assembly of Pakistan (1947)
Mr. Akhay Kumar Das,Constituent Assembly of Pakistan (1947)
Mr. Dhirendra Nath Datta,Constituent Assembly of Pakistan (1947)
Mr. Bhupendra Kumar Datta,Constituent Assembly of Pakistan (1947)
"Moulavi M.A., B.L. Ebrahim Khan",Constituent Assembly of Pakistan (1947)
Mr. A.K. Fazlul Huq,Constituent Assembly of Pakistan (1947)
The Honourable Mr. Fazlur Rahman,Constituent Assembly of Pakistan (1947)
Mr. Ghayasuddin Pathan,Constituent Assembly of Pakistan (1947)
Begum Shaista Suhrawardy Ikramullah,Constituent Assembly of Pakistan (1947)
The Honourable Mr. Liaquat Ali Khan,Constituent Assembly of Pakistan (1947)
Mr. Mafizuddin Ahmad,Constituent Assembly of Pakistan (1947)
