Afghanistan,NAM,SOCHUM,DISEC,UN Special Assembly,,ICAO,,
Albania,FAO,SOCHUM,DISEC,,,,,
Algeria,NAM,SOCHUM,DISEC,UN Special Assembly,WIPO,,,
Andorra,SOCHUM,DISEC,,,,,,
Angola,SOCHUM,DISEC,,,,,,
Antigua and Barbuda,CELAC,SOCHUM,DISEC,,,,,
Argentina,CELAC,FAO,SOCHUM,DISEC,UN Special Assembly,WIPO,ICAO,
Armenia,SOCHUM,DISEC,,,,,,
Australia,COP21,FAO,SOCHUM,DISEC,UN Special Assembly,WIPO,ICAO,
Austria,COP21,SOCHUM,DISEC,UN Special Assembly,WIPO,ICAO,,
Azerbaijan,COP21,SOCHUM,DISEC,UN Special Assembly,,,,
Bahamas,CELAC,SOCHUM,DISEC,,,,,
Bahrain,SOCHUM,DISEC,UN Special Assembly,WIPO,,,,
Bangladesh,COP21,SOCHUM,DISEC,UN Special Assembly,WIPO,,,
Barbados,CELAC,FAO,SOCHUM,DISEC,,,,
Belarus,SOCHUM,DISEC,,,,,,
Belgium,FAO,SOCHUM,DISEC,UN Special Assembly,WIPO,ICAO,,
Belize,CELAC,SOCHUM,DISEC,WIPO,,,,
Benin,SOCHUM,DISEC,,,,,,
Bhutan,SOCHUM,DISEC,UN Special Assembly,,,,,
Bolivia,CELAC,SOCHUM,DISEC,UN Special Assembly,ICAO,,,
Bosnia and Herzegovina,SOCHUM,DISEC,UN Special Assembly,,,,,
Botswana,SOCHUM,DISEC,,,,,,
Brazil,CELAC,COP21,FAO,SOCHUM,DISEC,UN Special Assembly,WIPO,ICAO
Brunei Darussalam,COP21,SOCHUM,DISEC,,,,,
Bulgaria,SOCHUM,DISEC,UN Special Assembly,,,,,
Burkina Faso,SOCHUM,DISEC,,,,,,
Burundi,SOCHUM,DISEC,UN Special Assembly,WIPO,,,,
Cabo Verde,SOCHUM,DISEC,,,,,,
Cambodia,NAM,SOCHUM,DISEC,UN Special Assembly,WIPO,ICAO,,
Cameroon,FAO,SOCHUM,DISEC,UN Special Assembly,,,,
Canada,COP21,FAO,SOCHUM,DISEC,UN Special Assembly,WIPO,ICAO,
Central African Republic,SOCHUM,DISEC,UN Special Assembly,,,,,
Chad,SOCHUM,DISEC,,,,,,
Chile,CELAC,COP21,SOCHUM,DISEC,UN Special Assembly,WIPO,ICAO,
China,COP21,FAO,SOCHUM,DISEC,UN Special Assembly,WIPO,,
Colombia,CELAC,FAO,SOCHUM,DISEC,UN Special Assembly,WIPO,ICAO,
Comoros,SOCHUM,DISEC,,,,,,
Congo,NAM,SOCHUM,DISEC,UN Special Assembly,WIPO,,,
Costa Rica,CELAC,SOCHUM,DISEC,UN Special Assembly,WIPO,ICAO,,
Côte D'Ivoire,FAO,SOCHUM,DISEC,UN Special Assembly,,,,
Croatia,SOCHUM,DISEC,UN Special Assembly,,,,,
Cuba,CELAC,NAM,COP21,SOCHUM,DISEC,UN Special Assembly,WIPO,ICAO
Cyprus,NAM,SOCHUM,DISEC,,,,,
Czech Republic,SOCHUM,DISEC,,,,,,
Democratic People's Republic of Korea,FAO,SOCHUM,DISEC,UN Special Assembly,,,,
Democratic Republic of the Congo,COP21,FAO,SOCHUM,DISEC,UN Special Assembly,ICAO,,
Denmark,FAO,SOCHUM,DISEC,UN Special Assembly,WIPO,ICAO,,
Djibouti,SOCHUM,DISEC,WIPO,,,,,
Dominica,CELAC,SOCHUM,DISEC,WIPO,,,,
Dominican Republic,CELAC,COP21,FAO,SOCHUM,DISEC,ICAO,,
Ecuador,CELAC,COP21,FAO,SOCHUM,DISEC,UN Special Assembly,,ICAO
Egypt,COP21,FAO,SOCHUM,DISEC,UN Special Assembly,WIPO,ICAO,
El Salvador,CELAC,SOCHUM,DISEC,ICAO,,,,
Equatorial Guinea,SOCHUM,DISEC,,,,,,
Eritrea,SOCHUM,DISEC,,,,,,
Estonia,SOCHUM,DISEC,,,,,,
Ethiopia,NAM,COP21,FAO,SOCHUM,DISEC,UN Special Assembly,,ICAO
Fiji,COP21,FAO,SOCHUM,DISEC,WIPO,,,
Finland,SOCHUM,DISEC,UN Special Assembly,WIPO,ICAO,,,
France,COP21,FAO,SOCHUM,DISEC,UN Special Assembly,WIPO,ICAO,
Gabon,SOCHUM,DISEC,,,,,,
Gambia (Republic of The),FAO,SOCHUM,DISEC,,,,,
Georgia,SOCHUM,DISEC,,,,,,
Germany,COP21,FAO,SOCHUM,DISEC,UN Special Assembly,WIPO,,
Ghana,NAM,FAO,SOCHUM,DISEC,UN Special Assembly,WIPO,ICAO,
Greece,COP21,SOCHUM,DISEC,UN Special Assembly,WIPO,ICAO,,
Grenada,CELAC,SOCHUM,DISEC,,,,,
Guatemala,CELAC,SOCHUM,DISEC,UN Special Assembly,,,,
Guinea,NAM,SOCHUM,DISEC,,,,,
Guinea-Bissau,SOCHUM,DISEC,,,,,,
Guyana,CELAC,SOCHUM,DISEC,,,,,
Haiti,CELAC,COP21,FAO,SOCHUM,DISEC,UN Special Assembly,,ICAO
Honduras,CELAC,SOCHUM,DISEC,UN Special Assembly,,ICAO,,
Hungary,SOCHUM,DISEC,UN Special Assembly,WIPO,,,,
Iceland,COP21,SOCHUM,DISEC,WIPO,ICAO,,,
India,NAM,COP21,FAO,SOCHUM,DISEC,UN Special Assembly,WIPO,ICAO
Indonesia,NAM,COP21,FAO,SOCHUM,DISEC,UN Special Assembly,WIPO,ICAO
Iran (Islamic Republic of),NAM,COP21,SOCHUM,DISEC,UN Special Assembly,WIPO,ICAO,
Iraq,NAM,COP21,SOCHUM,DISEC,UN Special Assembly,WIPO,ICAO,
Ireland,SOCHUM,DISEC,WIPO,ICAO,,,,
Israel,COP21,SOCHUM,DISEC,UN Special Assembly,WIPO,ICAO,,
Italy,COP21,FAO,SOCHUM,DISEC,UN Special Assembly,WIPO,ICAO,
Jamaica,CELAC,FAO,SOCHUM,DISEC,UN Special Assembly,,,
Japan,COP21,SOCHUM,DISEC,UN Special Assembly,WIPO,ICAO,,
Jordan,SOCHUM,DISEC,UN Special Assembly,,ICAO,,,
Kazakhstan,SOCHUM,DISEC,UN Special Assembly,,,,,
Kenya,COP21,FAO,SOCHUM,DISEC,UN Special Assembly,WIPO,,
Kiribati,SOCHUM,DISEC,,,,,,
Kuwait,SOCHUM,DISEC,ICAO,,,,,
Kyrgyzstan,SOCHUM,DISEC,,,,,,
Lao People’s Democratic Republic,SOCHUM,DISEC,UN Special Assembly,,ICAO,,,
Latvia,SOCHUM,DISEC,,,,,,
Lebanon,NAM,FAO,SOCHUM,DISEC,UN Special Assembly,,ICAO,
Lesotho,SOCHUM,DISEC,,,,,,
Liberia,FAO,SOCHUM,DISEC,WIPO,ICAO,,,
Libya,COP21,FAO,SOCHUM,DISEC,UN Special Assembly,,ICAO,
Liechtenstein,SOCHUM,DISEC,,,,,,
Lithuania,SOCHUM,DISEC,,,,,,
Luxembourg,SOCHUM,DISEC,WIPO,ICAO,,,,
Macau,SOCHUM,DISEC,,,,,,
Madagascar,SOCHUM,DISEC,,,,,,
Malawi,SOCHUM,DISEC,UN Special Assembly,,,,,
Malaysia,COP21,SOCHUM,DISEC,UN Special Assembly,WIPO,ICAO,,
Maldives,SOCHUM,DISEC,,,,,,
Mali,NAM,SOCHUM,DISEC,,,,,
Malta,SOCHUM,DISEC,,,,,,
Marshall Islands,SOCHUM,DISEC,,,,,,
Mauritania,SOCHUM,DISEC,,,,,,
Mauritius,SOCHUM,DISEC,,,,,,
Mexico,CELAC,COP21,SOCHUM,DISEC,UN Special Assembly,WIPO,ICAO,
Micronesia (Federated States of),SOCHUM,DISEC,,,,,,
Monaco,SOCHUM,DISEC,WIPO,,,,,
Mongolia,SOCHUM,DISEC,UN Special Assembly,WIPO,,,,
Montenegro,SOCHUM,DISEC,,,,,,
Morocco,NAM,COP21,SOCHUM,DISEC,WIPO,ICAO,,
Mozambique,SOCHUM,DISEC,WIPO,,,,,
Myanmar,SOCHUM,DISEC,UN Special Assembly,,,,,
Namibia,COP21,SOCHUM,DISEC,WIPO,,,,
Nauru,SOCHUM,DISEC,,,,,,
Nepal,NAM,SOCHUM,DISEC,UN Special Assembly,,,,
Netherlands,FAO,SOCHUM,DISEC,WIPO,,,,
New Zealand,COP21,FAO,SOCHUM,DISEC,UN Special Assembly,WIPO,,
Nicaragua,CELAC,SOCHUM,DISEC,UN Special Assembly,WIPO,ICAO,,
Niger,SOCHUM,DISEC,WIPO,,,,,
Nigeria,FAO,SOCHUM,DISEC,UN Special Assembly,,,,
Norway,COP21,SOCHUM,DISEC,UN Special Assembly,WIPO,ICAO,,
Oman,SOCHUM,DISEC,WIPO,,,,,
Pakistan,COP21,FAO,SOCHUM,DISEC,UN Special Assembly,WIPO,ICAO,
Palau,SOCHUM,DISEC,,,,,,
Panama,CELAC,FAO,SOCHUM,DISEC,,,,
Papua New Guinea,FAO,SOCHUM,DISEC,UN Special Assembly,,,,
Paraguay,CELAC,SOCHUM,DISEC,ICAO,,,,
Peru,CELAC,COP21,FAO,SOCHUM,DISEC,UN Special Assembly,,ICAO
Philippines,COP21,FAO,SOCHUM,DISEC,UN Special Assembly,WIPO,ICAO,
Poland,COP21,SOCHUM,DISEC,UN Special Assembly,WIPO,ICAO,,
Portugal,COP21,SOCHUM,DISEC,UN Special Assembly,WIPO,ICAO,,
Qatar,COP21,SOCHUM,DISEC,UN Special Assembly,WIPO,,,
Republic of Korea,COP21,SOCHUM,DISEC,UN Special Assembly,WIPO,ICAO,,
Republic of Moldova,SOCHUM,DISEC,,,,,,
Romania,SOCHUM,DISEC,WIPO,,,,,
Russian Federation,COP21,FAO,SOCHUM,DISEC,UN Special Assembly,WIPO,,
Rwanda,COP21,FAO,SOCHUM,DISEC,UN Special Assembly,WIPO,,
Saint Kitts and Nevis,CELAC,SOCHUM,DISEC,,,,,
Saint Lucia,CELAC,SOCHUM,DISEC,,,,,
Saint Vincent and the Grenadines,CELAC,SOCHUM,DISEC,,,,,
Samoa,SOCHUM,DISEC,,,,,,
San Marino,SOCHUM,DISEC,WIPO,,,,,
